epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.89486,2.22517,0.09091,0.54545,2.35591,1.538e-05,1.538e-05,1.538e-05
2,3.69785,2.25477,0.09091,0.36364,2.33992,3.84119e-05,3.84119e-05,3.84119e-05
3,5.12488,2.1268,0.09091,0.27273,2.35432,6.13982e-05,6.13982e-05,6.13982e-05
4,6.6835,2.21892,0,0.45455,2.31544,8.43388e-05,8.43388e-05,8.43388e-05
5,8.03035,2.14562,0.18182,0.45455,2.31043,0.000107234,0.000107234,0.000107234
6,9.53579,2.06867,0.18182,0.45455,2.30925,0.000130083,0.000130083,0.000130083
7,10.8381,2.02349,0.18182,0.54545,2.32827,0.000152886,0.000152886,0.000152886
8,12.206,2.00952,0.18182,0.54545,2.33334,0.000175644,0.000175644,0.000175644
9,13.5905,1.90809,0.18182,0.54545,2.34927,0.000198356,0.000198356,0.000198356
10,14.9322,1.89803,0.18182,0.54545,2.34455,0.000221023,0.000221023,0.000221023
11,16.3128,1.80182,0.18182,0.54545,2.36605,0.000243644,0.000243644,0.000243644
12,19.5076,1.69028,0.18182,0.45455,2.37933,0.000266219,0.000266219,0.000266219
13,21.5035,1.758,0.27273,0.45455,2.37139,0.000288748,0.000288748,0.000288748
14,23.1658,1.62962,0.27273,0.45455,2.39541,0.000311232,0.000311232,0.000311232
15,24.814,1.45338,0.18182,0.45455,2.45099,0.00033367,0.00033367,0.00033367
16,26.6919,1.4035,0.18182,0.45455,2.47582,0.000356063,0.000356063,0.000356063
17,28.5579,1.37098,0.18182,0.45455,2.55353,0.00037841,0.00037841,0.00037841
18,30.7394,1.16523,0.18182,0.45455,2.58869,0.000400711,0.000400711,0.000400711
19,32.3601,1.1202,0.18182,0.45455,2.6235,0.000422966,0.000422966,0.000422966
20,34.1029,1.1371,0.27273,0.45455,2.64273,0.000445176,0.000445176,0.000445176
21,36.5298,1.39826,0.27273,0.54545,2.73163,0.00046734,0.00046734,0.00046734
22,38.3354,1.13011,0.27273,0.45455,2.74761,0.000489458,0.000489458,0.000489458
23,39.9205,1.13678,0.18182,0.45455,2.86388,0.000511531,0.000511531,0.000511531
24,41.7021,1.15068,0.18182,0.45455,2.95759,0.000533558,0.000533558,0.000533558
25,43.2328,0.9796,0.18182,0.45455,3.07092,0.000555539,0.000555539,0.000555539
26,44.7862,0.70875,0.18182,0.45455,3.10519,0.000577475,0.000577475,0.000577475
27,46.6294,0.7739,0.18182,0.54545,3.20714,0.000599365,0.000599365,0.000599365
28,48.1962,0.70142,0.18182,0.54545,3.2899,0.000621209,0.000621209,0.000621209
29,51.127,0.68841,0.18182,0.54545,3.2899,0.000643008,0.000643008,0.000643008
30,53.2144,0.61147,0.18182,0.54545,3.38256,0.000664761,0.000664761,0.000664761
31,54.9962,0.7543,0.18182,0.54545,3.61975,0.000686468,0.000686468,0.000686468
32,56.7731,0.46066,0.18182,0.54545,3.86476,0.000708129,0.000708129,0.000708129
33,58.5985,0.55578,0.18182,0.54545,3.86476,0.000729745,0.000729745,0.000729745
34,60.1119,0.50379,0.18182,0.54545,4.00615,0.000743877,0.000743877,0.000743877
35,61.6957,0.55833,0.18182,0.54545,4.36311,0.000743115,0.000743115,0.000743115
36,63.325,0.75783,0.18182,0.63636,4.56048,0.000742354,0.000742354,0.000742354
37,64.8949,0.40752,0.18182,0.63636,4.56048,0.000741593,0.000741593,0.000741593
38,66.3658,0.25397,0.18182,0.63636,4.88367,0.000740832,0.000740832,0.000740832
